key,原文,译文
Root/DaneAxeTier5Description,Few smiths know how to forge steel in a crucible. Here the technique has yielded an axe of unparallelled durability.,
Root/KnifeTier1,Knifr,
Root/KnifeTier2,Narrow Seax,
Root/KnifeTier3,Light Broad Seax,
Root/KnifeTier4,Heavy Broad Seax,
Root/KnifeTier5,Long Seax,
Root/KnifeTier1Description,"Short one-edged blade of varying sharpness, attached to a wooden handle. Never leave home without one.",
Root/KnifeTier2Description,"Long single-edged blade, just short enough to qualify as a knife, but long enough to do some serious damage.",
Root/KnifeTier3Description,"The broader blade of this knife gives it more weight when slashing, and its point is not to be trifled with either.",
Root/KnifeTier4Description,"An even heavier, longer, and thicker version of the already quite heavy, long, and thick seax.",
Root/KnifeTier5Description,This knife is very nearly a sword. Its lightly curved blade is strong enough to pry open armour like a clamshell.,
Root/SpearTier1,Simple Spear,
Root/SpearTier2,Winged Spear,
Root/SpearTier3,Pattern-welded Spear,
Root/SpearTier4,Pattern-welded Winged Spear,
Root/SpearTier5,Crucible Steel Spear,
Root/SpearTier1Description,"Little more than a sharpened stick, the common spear is cheap and easy to use.",
Root/SpearTier2Description,The tip of this one is cleverly shaped to pry through armour and offers limited slashing capabilities for the dextrous wielder.,
Root/SpearTier3Description,"Though pattern-welding a speartip might seem like overkill, the extra flexibility allows for more powerful and accurate thrusts.",
Root/SpearTier4Description,"Combining a clever design with masterful smithing technique, this spear is incredibly deadly in the right hands.",
Root/SpearTier5Description,The quality of this spear elevates it from a common weapon to something resembling a religious relic.,
Root/SwordTier1,Single-Edged Sword,
Root/SwordTier2,Broadsword,
Root/SwordTier3,Pattern-welded Single-Edged Sword,
Root/SwordTier4,Pattern-welded Broadsword,
Root/SwordTier5,Crucible Steel Sword,
Root/SwordTier1Description,"Swords have little use other than for taking lives, but they are very good for that purpose.",
Root/SwordTier2Description,"By broadening the blade and sharpening both edges, a powerful and versatile weapon has been produced.",
Root/SwordTier3Description,"Pattern-welding a sword requires a high degree of mastery over the forge, but you can't argue with the results.",
Root/SwordTier4Description,"Despite the size of its blade, this sword is light and perfectly balanced. It's ornate hilt rests comfortably in any hand.",
Root/SwordTier5Description,The state of the art of European smithing has produced a beautiful blade that feels like it could cut through a rock as easily as snow.,
Root/SlingTier1,Hemp Sling,
Root/SlingTier2,Flax Sling,
Root/SlingTier3,Wool Sling,
Root/SlingTier4,Gripped Flax Sling,
Root/SlingTier5,Gripped Wool Sling,
Root/SlingTier1Description,"It may not be an elegant weapon, but a stone to the face at high speed will get the job done more often than not.",
Root/SlingTier2Description,A stronger string and an improved release mechanism allows this sling to impart more power on each throw.,
Root/SlingTier3Description,"Wool spun tightly into a longer string, fitted with a better designed cradle for the projectile, makes this sling surprisingly powerful.",
Root/SlingTier4Description,An unusual amount of ingenuity has gone into the creation of this sling. Its comfortable grip and carefully calibrated cradle makes it a joy to use.,
Root/SlingTier5Description,"This sling is so well made, so carefully designed, that comparing it to other weapons of its type is almost an insult.",
Root/ShieldTier1,Pine Shield,
Root/ShieldTier2,Fir Shield,
Root/ShieldTier3,Padded Pine Shield,
Root/ShieldTier4,Padded Fir Shield,
Root/ShieldTier5,Padded Yew Shield,
Root/ShieldTier1Description,"Pine isn't the best wood for a shield, but it's abundant and it certainly beats blocking a blow with your arm.",
Root/ShieldTier2Description,"Made from a fir cut down in its prime, this shield is tougher than its pine counterparts without adding too much weight.",
Root/ShieldTier3Description,Padding a pine shield with cured leather improves the structural integrity of the shield significantly and protects against slinters.,
Root/ShieldTier4Description,This durable leather-padded fir shield has been further improved by reinforcing the areas where its grip connects to the wood.,
Root/ShieldTier5Description,"Shields like this hang behind the thrones of kings. With its sturdy build and beautifully painted cured leather, it might stop a charging bull.",
Root/ThrowableItem,Throwable item,
Root/TrapItem,Trap item,
Root/UtilityItem,Utility item,
Root/ConsumableItem,Consumable item,
Root/SwordItem,Sword,
Root/AxeItem,Axe,
Root/KnifeItem,Knife,
Root/SlingItem,Sling,
Root/SpearItem,Spear,
Root/DaneAxeItem,Dane-Axe,
Root/BowItem,Bow,
Root/ShieldItem,Shield,
Root/TalismanItem,Talisman,
Root/ArmourItem,Armour,
Root/HelmetItem,Helmet,
Root/StandardItemColor,"[color=""white""][x][/color]",
Root/SpecialPropertyItemColor,"[color=""lime""][x][/color]",
Root/UniqueItemColor,"[color=""orange""][x][/color]",
Root/ItemNameGrammar,[sb][sp][itemname],
Root/SpecialPropertyNameGrammarUnknown,"[color=""grey""][x][/color]",
Root/SpecialPropertyNameGrammarPositive,"[color=""lime""][x][/color]",
Root/SpecialPropertyNameGrammarNegative,"[color=""red""][x][/color]",
Root/SpecialPropertyDescriptionGrammar,[condition] [effect].,
Root/SpecialPropertyOwnerPrefix,([name])\n,
Root/SpecialPropertyOwnerPrefixUnknown,(Unknown person)\n,
Root/AgileSpecialProperty,Agile,
Root/AgileSpecialPropertyDescription,Movement [x],
Root/AsgardianSpecialProperty,Asgardian,
Root/AsgardianSpecialPropertyDescription,[x]% Automatic Revive chance,
Root/AwkwardSpecialProperty,Awkward,
Root/AwkwardSpecialPropertyDescription,[x] Max Accuracy,
Root/BerserkerSpecialProperty,Berserker,
Root/BerserkerSpecialPropertyDescription,[x]% Dmg vs. Uninjured,
Root/BitingSpecialProperty,Biting,
Root/BitingSpecialPropertyDescription,[x]% Crit Dmg multiplier,
Root/BolsteringSpecialProperty,Bolstering,
Root/BolsteringSpecialPropertyDescription,[x] Block %,
Root/CursedSpecialProperty,Cursed,
Root/CursedSpecialPropertyDescription,Morale [x],
Root/DefenderSpecialProperty,Defender,
Root/DefenderSpecialPropertyDescription,[x] Block % when next to ally,
Root/FocusingSpecialProperty,Focusing,
Root/FocusingSpecialPropertyDescription,[x] Mental Resistance,
Root/HunterSpecialProperty,Hunter,
Root/HunterSpecialPropertyDescription,[x]% Dmg vs. Beasts,
Root/KeenSpecialProperty,Keen,
Root/KeenSpecialPropertyDescription,[x] Critical Chance,
Root/LuckySpecialProperty,Lucky,
Root/LuckySpecialPropertyDescription,[x] Morale,
Root/MarksmanSpecialProperty,Marksman,
Root/MarksmanSpecialPropertyDescription,[x] Max Accuracy,
Root/NegatingSpecialProperty,Negating,
Root/NegatingSpecialPropertyDescription,Cancels all positive effects,
Root/PreciseSpecialProperty,Precise,
Root/PreciseSpecialPropertyDescription,[x] Armour Piercing,
Root/RaiderSpecialProperty,Raider,
Root/RaiderSpecialPropertyDescription,[x]% Dmg vs. Unarmoured humans,
Root/RobustSpecialProperty,Robust,
Root/RobustSpecialPropertyDescription,[x] Melee DR,
Root/RuthlessSpecialProperty,Ruthless,
Root/RuthlessSpecialPropertyDescription,[x]% Dmg vs. Immobilised,
Root/SeekingSpecialProperty,Seeking,
Root/SeekingSpecialPropertyDescription,Night accuracy penalty halved,
Root/SharpSpecialProperty,Sharp,
Root/SharpSpecialPropertyDescription,[x]% Dmg,
Root/SovereignSpecialProperty,Sovereign,
Root/SovereignSpecialPropertyDescription,Attacks cannot be blocked,
Root/SteelingSpecialProperty,Steeling,
Root/SteelingSpecialPropertyDescription,[x] Physical Resistance,
Root/StrengtheningSpecialProperty,Strengthening,
Root/StrengtheningSpecialPropertyDescription,[x] Hit Points,
Root/SunderingSpecialProperty,Sundering,
Root/SunderingSpecialPropertyDescription,[x]% Dmg vs. shields,
Root/SurtrSpecialProperty,Surtr,
Root/SurtrSpecialPropertyDescription,[x]% Dmg vs. Burning enemies,
Root/SwiftSpecialProperty,Swift,
Root/SwiftSpecialPropertyDescription,[x]% Extra attack chance,
Root/TacticianSpecialProperty,Tactician,
Root/TacticianSpecialPropertyDescription,[x]% Dmg vs. Flanked enemies,
Root/ThickSpecialProperty,Thick,
Root/ThickSpecialPropertyDescription,[x] Ranged DR,
Root/UnbreakableSpecialProperty,Unbreakable,
Root/UnbreakableSpecialPropertyDescription,Can't be damaged in combat,
Root/UnstoppableSpecialProperty,Unstoppable,
Root/UnstoppableSpecialPropertyDescription,All characters along attack path take damage,
Root/VigilantSpecialProperty,Vigilant,
Root/VigilantSpecialPropertyDescription,[x] to avoid Crit,
Root/TooltipSchematicNone,"[size=""16""][SchematicName][/size]\n[SchematicDescription]",
Root/TooltipSchematicArmourOil,"[size=""16""][SchematicName][/size]\n[SchematicDescription]",
Root/TooltipSchematicArmourWebbing,"[size=""16""][SchematicName][/size]\n[SchematicDescription]",
Root/TooltipSchematicHardenedLeather,"[size=""16""][SchematicName][/size]\n[SchematicDescription]",
Root/TooltipSchematicArmourPadding,"[size=""16""][SchematicName][/size]\n[SchematicDescription]",
Root/TooltipSchematicArmourOintment,"[size=""16""][SchematicName][/size]\n[SchematicDescription]",
Root/SchematicTooltipGrammar,"[size=""16""][name][/size]\n[description]",
Root/SchematicNone,None,
Root/SchematicNoneDescription,None,
Root/SchematicArmourOil,Armour Oil,
Root/SchematicArmourOilNamePrefix,Oiled,
Root/SchematicArmourOilDescription,"Armoursmithing schematic. Oiling the joints of armour loosens it, allowing more freedom of movement.",
Root/SchematicArmourOilItemDescription,The oil used to loosen the armour during construction allows for more freedom of movement in combat.,
Root/SchematicArmourOilEffect,"[color=""lime""]+1 movement[/color]",
Root/SchematicArmourWebbing,Armour Webbing,
Root/SchematicArmourWebbingNamePrefix,Webbed,
Root/SchematicArmourWebbingDescription,Armoursmithing schematic. Attaching webbing to armour adds one more slot to carry items into combat.,
Root/SchematicArmourWebbingItemDescription,The webbing attached to this armour allows the wearer to carry one more item into combat.,
Root/SchematicArmourWebbingEffect,"[color=""lime""]+1 utility slot[/color]",
Root/SchematicHardenedLeather,Hardened Leather,
Root/SchematicHardenedLeatherNamePrefix,Hardened,
Root/SchematicHardenedLeatherDescription,Armoursmithing schematic. Using hardened leather to craft armour makes it resistant to fire.,
Root/SchematicHardenedLeatherItemDescription,The hardened leather used in the armour's construction protects the wearer from fire.,
Root/SchematicHardenedLeatherEffect,"[color=""lime""]Fire resistance[/color]",
Root/SchematicArmourPadding,Armour Padding,
Root/SchematicArmourPaddingNamePrefix,Padded,
Root/SchematicArmourPaddingDescription,Armoursmithing schematic. Padding the joints and seams of the armour protects the wearer from poison.,
Root/SchematicArmourPaddingItemDescription,The internal padding added during the armour's construction protects the wearer from poison.,
Root/SchematicArmourPaddingEffect,"[color=""lime""]Poison resistance[/color]",
Root/SchematicArmourOintment,Armour Balm,
Root/SchematicArmourOintmentNamePrefix,Balmed,
Root/SchematicArmourOintmentDescription,Armoursmithing schematic. Rubbing a numbing balm into armour lets the wearer regain a few HP per turn.,
Root/SchematicArmourOintmentItemDescription,The balm applied to the inside during its construction restores a few of the wearer's HP per turn.,
Root/SchematicArmourOintmentEffect,"[color=""lime""]+5 HP regeneration per turn[/color]",
